ALEMANYA;DEU
ALGÈRIA;DZA
ARGENTINA;ARG
AUSTRÀLIA;AUS
ÀUSTRIA;AUT
BANGLA DESH;BGD
BÈLGICA;BEL
BIELORÚSSIA;BLR
BRASIL;BRA
CAMBODJA;KHM
CAMERUN;CMR
CANADÀ;CAN
COLÒMBIA;COL
COREA DEL SUD;KOR
COSTA RICA;CRI
CROÀCIA;HRV
CUBA;CUB
EGIPTE;EGY
EQUADOR;ECU
ESLOVÀQUIA;SVK
ESLOVÈNIA;SVN
ESPANYA;ESP
ESTATS UNITS;USA
ESTATS UNITS (EUA);USA
FRANÇA;FRA
GHANA;GHA
GRÈCIA;GRC
ÍNDIA;IND
IRAN;IRN
ITÀLIA;ITA
JORDÀNIA;JOR
KAZAKHSTAN;KAZ
MALTA;MLT
MARROC;MAR
MÈXIC;MEX
MOÇAMBIC;MOZ
MONGÒLIA;MNG
NICARAGUA;NIC
PAÏSOS BAIXOS;NLD
PAKISTAN;PAK
PARAGUAI;PRY
PERÚ;PER
POLÒNIA;POL
PORTUGAL;PRT
REGNE UNIT;GBR
ROMANIA;ROU
RÚSSIA;RUS
SÈRBIA;SRB
SÍRIA;SYR
SUÈCIA;SWE
TAILÀNDIA;THA
TRINITAT I TOBAGO;TTO
TUNÍSIA;TUN
UCRAÏNA;UKR
UZBEKISTAN;UZB
VENEÇUELA;VEN
XILE;CHL
XINA;CHN
XIPRE;CYP
ZIMBABWE;ZWE
